Calories,Protein,Fat,Carbs,Meal,Course,Healthy,Special Nutrition,Cooking Methods,"time, mins",Vegetables,Fruits,Meat,Seafood,Mushrooms,Dairy,Grains,Nuts
187.0,29.0,5.0,4.0,3,2,0,2,3,28,1,0,1,0,0,1,1,0
728.0,64.0,32.0,57.0,1,2,0,2,3,40,0,0,1,0,0,1,1,0
78.0,5.0,3.0,10.0,4,2,1,2,5,165,0,0,1,0,0,0,0,0
184.0,15.0,6.0,17.0,4,2,0,2,3,40,1,0,1,0,0,0,1,0
411.0,43.0,13.0,41.0,4,6,0,2,3,20,1,0,1,0,0,0,0,0
318.0,32.0,7.0,41.0,4,2,0,2,3,40,0,0,1,0,0,0,0,0
783.0,64.0,35.0,64.0,1,2,0,2,2,25,1,0,1,0,0,0,1,0
154.0,13.0,9.0,7.0,3,2,0,2,2,55,1,0,1,0,0,0,0,0
310.0,33.0,7.0,34.0,4,6,0,2,3,30,1,0,1,0,0,1,1,0
322.0,33.0,14.0,15.0,4,2,0,2,3,30,1,1,1,0,0,1,1,0
491.0,34.0,19.0,40.0,4,2,0,2,3,50,1,0,1,0,0,1,1,0
236.0,29.0,5.0,18.0,1,2,0,2,3,40,1,0,1,0,0,0,1,0
174.0,10.0,9.0,13.0,3,0,0,2,3,30,1,0,1,0,0,1,1,0
753.0,70.0,22.0,64.0,4,2,0,2,3,0,1,0,1,0,0,1,1,0
293.0,24.0,14.0,17.0,1,2,0,2,3,25,0,0,1,0,0,0,1,0
213.0,19.0,14.0,1.0,1,2,1,2,3,30,0,0,1,0,0,0,0,0
453.0,27.0,37.0,4.0,4,6,0,2,3,5,0,0,1,0,0,0,0,0
155.0,6.0,4.0,25.0,4,6,0,2,3,25,1,1,0,0,0,0,0,0
180.0,13.0,5.0,19.0,4,2,0,2,3,30,0,0,1,0,0,1,1,0
304.0,31.0,10.0,22.0,4,2,0,2,3,35,0,0,1,0,0,0,1,0
173.0,4.0,10.0,18.0,0,6,0,2,3,25,0,0,0,0,0,1,1,0
310.0,4.0,14.0,44.0,0,6,0,2,3,20,0,0,0,0,0,0,1,0
418.0,31.0,17.0,41.0,4,6,0,2,3,140,0,1,1,0,0,0,1,0
103.0,1.0,6.0,12.0,4,1,0,2,5,40,0,0,0,0,0,1,0,0
236.0,14.0,9.0,28.0,3,0,0,2,3,45,1,1,0,1,0,0,1,0
169.0,24.0,3.0,16.0,4,2,0,2,3,25,0,0,0,1,0,0,0,0
225.0,6.0,7.0,36.0,3,0,1,2,3,555,1,0,0,0,0,0,0,0
515.0,7.0,48.0,20.0,4,4,0,2,3,25,1,0,0,0,0,1,0,0
537.0,29.0,28.0,43.0,0,2,0,2,3,40,1,0,1,0,0,0,0,0
375.0,55.0,10.0,14.0,4,6,0,2,3,20,0,0,1,0,0,0,1,0
